Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
akino-getting-older,AKINO Getting Older Oversized Tee,<p>AKINO Getting Older Oversized Tee</p><ul><li>DTF print</li><li>Color options: Black - 220 GSM / Dark Ash - 180 GSM</li><li>Oversized drop-shoulder fit</li></ul>,AKINO,Drop Shoulder Tee,"dtf,drop-shoulder,streetwear,ready",TRUE,Color,Black - 220 GSM,akino-getting-older-1,shopify,10,deny,manual,650.00,TRUE,TRUE,https://res.cloudinary.com/hua42kke/image/upload/v1786552033/akino/ready/akino-getting-older-1.png,1,AKINO Getting Older Oversized Tee,active
akino-getting-older,,,,,,,,Dark Ash - 180 GSM,akino-getting-older-2,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-getting-older,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552037/akino/ready/akino-getting-older-2.png,2,AKINO Getting Older Oversized Tee,
akino-getting-older,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552039/akino/ready/akino-getting-older-3.png,3,AKINO Getting Older Oversized Tee,
akino-getting-older,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552040/akino/ready/akino-getting-older-4.png,4,AKINO Getting Older Oversized Tee,
akino-grafity,AKINO Grafity Oversized Tee,<p>AKINO Grafity Oversized Tee</p><ul><li>DTF print</li><li>Color options: Black - 220 GSM / Dark Ash - 180 GSM</li><li>Oversized drop-shoulder fit</li></ul>,AKINO,Drop Shoulder Tee,"dtf,drop-shoulder,streetwear,ready",TRUE,Color,Black - 220 GSM,akino-grafity-1,shopify,10,deny,manual,650.00,TRUE,TRUE,https://res.cloudinary.com/hua42kke/image/upload/v1786552042/akino/ready/akino-grafity-1.png,1,AKINO Grafity Oversized Tee,active
akino-grafity,,,,,,,,Dark Ash - 180 GSM,akino-grafity-2,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-grafity,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552043/akino/ready/akino-grafity-2.png,2,AKINO Grafity Oversized Tee,
akino-grafity,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552044/akino/ready/akino-grafity-3.png,3,AKINO Grafity Oversized Tee,
akino-justice,AKINO Justice Oversized Tee,<p>AKINO Justice Oversized Tee</p><ul><li>DTF print</li><li>Color options: Black - 220 GSM / Dark Ash - 180 GSM</li><li>Oversized drop-shoulder fit</li></ul>,AKINO,Drop Shoulder Tee,"dtf,drop-shoulder,streetwear,ready",TRUE,Color,Black - 220 GSM,akino-justice-1,shopify,10,deny,manual,650.00,TRUE,TRUE,https://res.cloudinary.com/hua42kke/image/upload/v1786552045/akino/ready/akino-justice-1.png,1,AKINO Justice Oversized Tee,active
akino-justice,,,,,,,,Dark Ash - 180 GSM,akino-justice-2,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-justice,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552047/akino/ready/akino-justice-2.png,2,AKINO Justice Oversized Tee,
akino-justice,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552048/akino/ready/akino-justice-3.png,3,AKINO Justice Oversized Tee,
