Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Variant Image,Status
akino-utility-cargos,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786682929/akino/ready/akino-utility-cargos-4.jpg,4,AKINO Utility Cargos,,
akino-dusty-blue-casual-denim,AKINO Dusty Blue Casual Denim,"<p>AKINO Dusty Blue Casual Denim</p><ul><li>Casual denim without cargo pockets</li><li>Soft wide-leg fit with drawstring waist</li><li>Color: Dusty Blue</li><li>Sizes: S, M, L, XL</li></ul>",AKINO,Casual Denim,"denim,casual,dusty-blue,streetwear,pants",TRUE,Color,Dusty Blue,Size,S,akino-dusty-blue-denim-s,shopify,10,deny,manual,700.00,TRUE,TRUE,https://res.cloudinary.com/hua42kke/image/upload/v1786683157/akino/ready/akino-dusty-blue-casual-denim-1.jpg,1,AKINO Dusty Blue Casual Denim,,active
akino-dusty-blue-casual-denim,,,,,,,,Dusty Blue,,M,akino-dusty-blue-denim-m,shopify,10,deny,manual,700.00,TRUE,TRUE,,,,,
akino-dusty-blue-casual-denim,,,,,,,,Dusty Blue,,L,akino-dusty-blue-denim-l,shopify,10,deny,manual,700.00,TRUE,TRUE,,,,,
akino-dusty-blue-casual-denim,,,,,,,,Dusty Blue,,XL,akino-dusty-blue-denim-xl,shopify,10,deny,manual,700.00,TRUE,TRUE,,,,,
akino-dusty-blue-casual-denim,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786683158/akino/ready/akino-dusty-blue-casual-denim-2.jpg,2,AKINO Dusty Blue Casual Denim,,
akino-blue-denim-with-pocket,AKINO Blue Denim with Pocket,"<p>AKINO Blue Denim with Pocket</p><ul><li>Blue denim cargo pants with flap pockets</li><li>Elastic drawstring waist</li><li>Wide-leg relaxed fit</li><li>Color: Blue</li><li>Sizes: S, M, L, XL</li></ul>",AKINO,Denim Cargo,"denim,cargo,blue,streetwear,pants",TRUE,Color,Blue,Size,S,akino-blue-denim-pocket-s,shopify,10,deny,manual,700.00,TRUE,TRUE,https://res.cloudinary.com/hua42kke/image/upload/v1786683316/akino/ready/akino-blue-denim-with-pocket-1.jpg,1,AKINO Blue Denim with Pocket,,active
akino-blue-denim-with-pocket,,,,,,,,Blue,,M,akino-blue-denim-pocket-m,shopify,10,deny,manual,700.00,TRUE,TRUE,,,,,
akino-blue-denim-with-pocket,,,,,,,,Blue,,L,akino-blue-denim-pocket-l,shopify,10,deny,manual,700.00,TRUE,TRUE,,,,,
akino-blue-denim-with-pocket,,,,,,,,Blue,,XL,akino-blue-denim-pocket-xl,shopify,10,deny,manual,700.00,TRUE,TRUE,,,,,
akino-blue-denim-with-pocket,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786683317/akino/ready/akino-blue-denim-with-pocket-2.jpg,2,AKINO Blue Denim with Pocket,,
