Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
akino-cradlifs,,,,,,,,Dark Ash - 180 GSM,,XL,akino-cradlifs-ash-xl,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-cradlifs,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552006/akino/ready/akino-cradlifs-2.png,2,AKINO Cradlifs Oversized Tee,
akino-cradlifs,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552007/akino/ready/akino-cradlifs-3.png,3,AKINO Cradlifs Oversized Tee,
akino-dhaka-cult,AKINO Dhaka Cult Oversized Tee,"<p>AKINO Dhaka Cult Oversized Tee</p><ul><li>DTF print</li><li>Color options: Black - 220 GSM / Dark Ash - 180 GSM</li><li>Sizes: Black (M, XL) · Dark Ash (M, L, XL)</li><li>Oversized drop-shoulder fit</li></ul>",AKINO,Drop Shoulder Tee,"dtf,drop-shoulder,streetwear,ready",TRUE,Color,Black - 220 GSM,Size,M,akino-dhaka-cult-blk-m,shopify,10,deny,manual,650.00,TRUE,TRUE,https://res.cloudinary.com/hua42kke/image/upload/v1786552010/akino/ready/akino-dhaka-cult-1.png,1,AKINO Dhaka Cult Oversized Tee,active
akino-dhaka-cult,,,,,,,,Black - 220 GSM,,XL,akino-dhaka-cult-blk-xl,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-dhaka-cult,,,,,,,,Dark Ash - 180 GSM,,M,akino-dhaka-cult-ash-m,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-dhaka-cult,,,,,,,,Dark Ash - 180 GSM,,L,akino-dhaka-cult-ash-l,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-dhaka-cult,,,,,,,,Dark Ash - 180 GSM,,XL,akino-dhaka-cult-ash-xl,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-dhaka-cult,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552012/akino/ready/akino-dhaka-cult-2.png,2,AKINO Dhaka Cult Oversized Tee,
akino-dhaka-cult,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552013/akino/ready/akino-dhaka-cult-3.png,3,AKINO Dhaka Cult Oversized Tee,
akino-dollar,AKINO Dollar Oversized Tee,"<p>AKINO Dollar Oversized Tee</p><ul><li>DTF print</li><li>Color options: Black - 220 GSM / Dark Ash - 180 GSM</li><li>Sizes: Black (M, XL) · Dark Ash (M, L, XL)</li><li>Oversized drop-shoulder fit</li></ul>",AKINO,Drop Shoulder Tee,"dtf,drop-shoulder,streetwear,ready",TRUE,Color,Black - 220 GSM,Size,M,akino-dollar-blk-m,shopify,10,deny,manual,650.00,TRUE,TRUE,https://res.cloudinary.com/hua42kke/image/upload/v1786552014/akino/ready/akino-dollar-1.jpg,1,AKINO Dollar Oversized Tee,active
akino-dollar,,,,,,,,Black - 220 GSM,,XL,akino-dollar-blk-xl,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-dollar,,,,,,,,Dark Ash - 180 GSM,,M,akino-dollar-ash-m,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
